# Availability - Yesterday

Date,"Node ID",Column1,Node,"IP Address","Average Availability"
8/15/2016,2565,unknown.gif,"140905 Cerenti",10.14.165.65,"0.00 %"
8/15/2016,2566,unknown.gif,"140906 Benai",10.14.165.81,"34.09 %"
8/15/2016,2567,unknown.gif,"140907 Gunungtoar",10.14.165.97,"100.00 %"
8/15/2016,2568,unknown.gif,"140908 Singingi Hilir",10.14.165.113,"2.27 %"
8/15/2016,2569,unknown.gif,"140909 Pangean",10.14.165.129,"22.73 %"
8/15/2016,2570,unknown.gif,"140910 Logas Tanah Darat",10.14.165.145,"0.00 %"
8/15/2016,2571,unknown.gif,"140911 Inuman",10.14.165.161,"0.00 %"
8/15/2016,2572,unknown.gif,"140912 Hulu Kuantan",10.14.165.177,"22.86 %"
8/15/2016,6561,unknown.gif,"1410 Kepulauan Meranti",10.14.10.1,"28.00 %"
8/15/2016,5809,unknown.gif,"141001 Tebing Tinggi",10.14.168.1,"26.14 %"
8/15/2016,5942,unknown.gif,"141002 Rangsang Barat",10.14.168.17,"2.84 %"
8/15/2016,5943,unknown.gif,"141003 Rangsang",10.14.168.33,"0.00 %"
8/15/2016,5944,unknown.gif,"141004 Tebing Tinggi Barat",10.14.168.49,"59.09 %"
8/15/2016,5945,unknown.gif,"141005 Merbau",10.14.168.65,"38.55 %"
8/15/2016,6221,unknown.gif,"1471 Kota Pekanbaru",10.14.71.1,"33.52 %"
8/15/2016,2815,unknown.gif,"147101 Sukajadi",10.14.101.1,"70.62 %"
8/15/2016,2816,unknown.gif,"147102 Pekanbaru Kota",10.14.101.17,"94.41 %"
8/15/2016,2817,unknown.gif,"147103 Sail",10.14.101.33,"0.00 %"
8/15/2016,501,unknown.gif,"147104 Lima Puluh",10.14.101.49,"34.86 %"
8/15/2016,1857,unknown.gif,"147105 Senapelan",10.14.101.65,"30.86 %"
8/15/2016,2818,unknown.gif,"147106 Rumbai",10.14.101.81,"35.23 %"
8/15/2016,2819,unknown.gif,"147107 Bukit Raya",10.14.101.97,"64.00 %"
8/15/2016,2820,unknown.gif,"147108 Tampan",10.14.101.113,"22.86 %"
8/15/2016,502,unknown.gif,"147109 Marpoyan Damai",10.14.101.129,"67.43 %"
8/15/2016,8268,unknown.gif,"147110 Tenayan Raya",10.14.101.145,"38.20 %"
8/15/2016,2827,unknown.gif,"147111 Payung Sekaki",10.14.101.161,"0.00 %"
8/15/2016,2822,unknown.gif,"147112 Rumbai Pesisir",10.14.101.177,"0.00 %"
8/15/2016,2912,14988.gif,"1472 Kota Dumai",10.14.72.2,"41.95 %"
8/15/2016,2823,unknown.gif,"147201 Dumai Barat",10.14.103.1,"87.64 %"
8/15/2016,2824,unknown.gif,"147202 Dumai Timur",10.14.103.17,"29.94 %"
8/15/2016,5613,unknown.gif,"147203 Bukit Kapur",10.14.103.33,"0.00 %"
8/15/2016,5691,unknown.gif,"147204 Sungai Sembilan",10.14.103.49,"21.71 %"
8/15/2016,319,unknown.gif,"147205 Medang Kampai",10.14.103.65,"0.00 %"
8/15/2016,7681,unknown.gif,"15 Jambi",10.10.15.2,"96.07 %"
8/15/2016,4594,14988.gif,"1501 Kerinci",10.15.1.1,"32.95 %"
8/15/2016,5789,unknown.gif,"150101 Gunung Raya",10.15.141.1,"12.50 %"
8/15/2016,5790,unknown.gif,"150102 Danau Kerinci",10.15.141.17,"13.71 %"
8/15/2016,5791,unknown.gif,"150104 Sitinjau Laut",10.15.141.33,"12.00 %"
8/15/2016,4102,unknown.gif,"150105 Air Hangat",10.15.141.49,"4.55 %"
8/15/2016,5571,unknown.gif,"150106 Gunung Kerinci",10.15.141.65,"28.41 %"
8/15/2016,5783,unknown.gif,"150107 Batang Merangin",10.15.141.81,"43.18 %"
8/15/2016,5792,unknown.gif,"150108 Keliling Danau",10.15.141.97,"12.50 %"
8/15/2016,6217,unknown.gif,"150109 Kayu Aro",10.15.141.113,"0.00 %"
8/15/2016,5784,unknown.gif,"150111 Air Hangat Timur",10.15.141.129,"12.92 %"
8/15/2016,6162,unknown.gif,"150115 Gunung Tujuh",10.15.141.145,"14.12 %"
8/15/2016,5572,unknown.gif,"150116 Siulak",10.15.141.161,"0.00 %"
8/15/2016,6031,unknown.gif,"150117 Depati Tujuh",10.15.141.177,"10.86 %"
8/15/2016,6563,unknown.gif,"1502 Merangin",10.15.2.1,"41.24 %"
8/15/2016,4858,unknown.gif,"150201 Jangkat",10.15.144.1,"3.41 %"
8/15/2016,321,unknown.gif,"150202 Bangko",10.15.144.17,"31.25 %"
8/15/2016,518,unknown.gif,"150203 Muara Siau",10.15.144.33,"0.00 %"
8/15/2016,2573,unknown.gif,"150204 Sungai Manau",10.15.144.49,"93.79 %"
8/15/2016,2574,unknown.gif,"150205 Tabir",10.15.144.65,"29.14 %"
8/15/2016,519,unknown.gif,"150206 Pamenang",10.15.144.81,"21.59 %"
8/15/2016,312,unknown.gif,"150207 Tabir Ulu",10.15.144.97,"0.00 %"
8/15/2016,2575,unknown.gif,"150208 Tabir Selatan",10.15.144.129,"16.95 %"
8/15/2016,520,unknown.gif,"150209 Lembah Masurai",10.15.144.113,"19.89 %"
8/15/2016,2787,unknown.gif,"150210 BangkoBarat",10.15.144.145,"0.00 %"
8/15/2016,323,unknown.gif,"150211 Nalo Tatan",10.15.144.161,"23.73 %"
8/15/2016,2576,unknown.gif,"150212 Batang Masumai",10.15.144.177,"86.93 %"
8/15/2016,521,unknown.gif,"150213 Pamenang Barat",10.15.144.193,"0.00 %"
8/15/2016,2788,unknown.gif,"150214 Tabir Ilir",10.15.144.209,"0.00 %"
8/15/2016,313,unknown.gif,"150215 Tabir Timur",10.15.144.225,"0.00 %"
8/15/2016,2577,unknown.gif,"150216 Renah Pembarap",10.15.144.241,"0.00 %"
8/15/2016,2578,unknown.gif,"150217 Pangkalan Jambu",10.15.145.1,"0.00 %"
8/15/2016,325,unknown.gif,"150218 Jangkat Timur",10.15.145.17,"0.00 %"
8/15/2016,2789,unknown.gif,"150219 Renah Pamenang",10.15.145.33,"0.00 %"
8/15/2016,2790,unknown.gif,"150220 Pamenang Selatan",10.15.145.49,"51.14 %"
8/15/2016,327,unknown.gif,"150221 Margo Tabir",10.15.145.65,"19.32 %"
8/15/2016,328,unknown.gif,"150222 Tabir Lintas",10.15.145.81,"0.00 %"
8/15/2016,329,unknown.gif,"150223 Tabir Barat",10.15.145.97,"0.00 %"
8/15/2016,523,unknown.gif,"150224 Tiang Pumpung",10.15.145.113,"0.00 %"
8/15/2016,5651,unknown.gif,"1503 Sarolangun",10.15.3.1,"46.02 %"
8/15/2016,503,unknown.gif,"150301 Batang Asai",10.15.147.1,"8.52 %"
8/15/2016,499,unknown.gif,"150302 Limun",10.15.147.17,"1.70 %"
8/15/2016,2579,unknown.gif,"150303 Sarolangun",10.15.147.33,"0.00 %"
8/15/2016,4217,unknown.gif,"150304 Pauh",10.15.147.49,"33.71 %"
8/15/2016,2791,unknown.gif,"150305 Pelawan",10.15.147.65,"0.00 %"
8/15/2016,506,unknown.gif,"150306 Mandiangin",10.15.147.81,"74.16 %"
8/15/2016,507,unknown.gif,"150307 Air Hitam",10.15.147.97,"0.00 %"
8/15/2016,535,unknown.gif,"150308 Bathin VIII",10.15.147.113,"0.00 %"
8/15/2016,2792,unknown.gif,"150309 Singkut",10.15.147.129,"0.00 %"
8/15/2016,537,unknown.gif,"150310 Cermin Nan Gedang",10.15.147.145,"15.43 %"
8/15/2016,4573,unknown.gif,"1504 Batanghari",10.15.4.1,"65.14 %"
8/15/2016,5743,unknown.gif,"150401 Mersam",10.15.150.1,"73.45 %"
8/15/2016,5747,unknown.gif,"150402 Muara Tembesi",10.15.150.17,"82.49 %"
8/15/2016,5748,unknown.gif,"150403 Muara Bulian",10.15.150.33,"95.48 %"
8/15/2016,5900,unknown.gif,"150404 Batin XXIV",10.15.150.49,"81.25 %"
8/15/2016,3963,unknown.gif,"150405 Pemayung",10.15.150.65,"0.00 %"
8/15/2016,5746,unknown.gif,"150406 Maro Sebo Ulu",10.15.150.81,"30.11 %"
8/15/2016,5744,unknown.gif,"150407 Bajubang",10.15.150.97,"22.16 %"
8/15/2016,5745,unknown.gif,"150408 Maro Sebo Ilir",10.15.150.113,"73.18 %"
8/15/2016,4769,unknown.gif,"1505 Muaro Jambi",10.15.5.1,"89.89 %"
8/15/2016,2580,unknown.gif,"150501 Jambi Luar Kota",10.15.153.1,"76.97 %"
8/15/2016,1854,unknown.gif,"150502 Sekernan",10.15.153.17,"0.00 %"
8/15/2016,2581,unknown.gif,"150503 Kumpeh",10.15.153.33,"0.00 %"
8/15/2016,330,unknown.gif,"150504 Maro Sebo",10.15.153.49,"0.00 %"
8/15/2016,2582,unknown.gif,"150505 Mestong",10.15.153.65,"0.00 %"
8/15/2016,2583,unknown.gif,"150506 Kumpeh Ulu",10.15.153.81,"73.14 %"
8/15/2016,2793,unknown.gif,"150507 Sungai Bahar",10.15.153.97,"25.84 %"
8/15/2016,2794,unknown.gif,"150508 Sungai Gelam",10.15.153.113,"0.00 %"
8/15/2016,2795,unknown.gif,"150509 Bahar Utara",10.15.153.129,"82.49 %"
8/15/2016,526,unknown.gif,"150510 Bahar Selatan",10.15.153.145,"28.00 %"
8/15/2016,332,unknown.gif,"150511 Taman Rajo",10.15.153.161,"0.00 %"
8/15/2016,4601,unknown.gif,"1506 Tanjung Jabung Barat",10.15.6.1,"100.00 %"
8/15/2016,3964,unknown.gif,"150601 Tungkal Ulu",10.15.156.1,"14.20 %"
8/15/2016,5912,unknown.gif,"150602 Tungkal Ilir",10.15.156.17,"0.00 %"
8/15/2016,4205,unknown.gif,"150603 Pengabuan",10.15.156.33,"0.00 %"
8/15/2016,5771,unknown.gif,"150604 Betara",10.15.156.49,"0.00 %"
8/15/2016,5913,unknown.gif,"150605 Merlung",10.15.156.65,"21.59 %"
8/15/2016,6032,unknown.gif,"150606 Tebing Tinggi",10.15.156.81,"0.00 %"
8/15/2016,4581,unknown.gif,"150607 Batang Asam",10.15.156.97,"9.66 %"
8/15/2016,6219,unknown.gif,"150608 Renah Mendaluh",10.15.156.113,"0.00 %"
8/15/2016,6220,unknown.gif,"150609 Muara Papalik",10.15.156.129,"31.64 %"
8/15/2016,7391,unknown.gif,"150610 Seberang Kota",10.15.156.145,"0.00 %"
8/15/2016,5772,unknown.gif,"150611 Bram Itam",10.15.156.161,"34.27 %"
8/15/2016,6218,unknown.gif,"150612 Kuala Betara",10.15.156.177,"0.00 %"
8/15/2016,5934,unknown.gif,"150613 Senyerang",10.15.156.193,"0.00 %"
8/15/2016,4642,unknown.gif,"1507 Tanjung Jabung Timur",10.15.7.1,"35.23 %"
8/15/2016,4355,unknown.gif,"150701 Muara Sabak Timur",10.15.159.1,"0.00 %"
8/15/2016,5755,unknown.gif,"150702 Nipah Panjang",10.15.159.17,"32.57 %"
8/15/2016,5757,unknown.gif,"150703 Mendahara",10.15.159.33,"0.00 %"
8/15/2016,4357,unknown.gif,"150704 Rantau Rasau",10.15.159.49,"0.00 %"
8/15/2016,4451,unknown.gif,"150705 S a d u",10.15.159.65,"0.00 %"
8/15/2016,5754,unknown.gif,"150706 Dendang",10.15.159.81,"0.00 %"
8/15/2016,5753,unknown.gif,"150707 Muara Sabak Barat",10.15.159.97,"5.14 %"
8/15/2016,5756,unknown.gif,"150708 Kuala Jambi",10.15.159.113,"79.78 %"
8/15/2016,4582,unknown.gif,"150709 Mendahara Ulu",10.15.159.129,"13.71 %"
8/15/2016,5759,unknown.gif,"150710 Geragai",10.15.159.145,"0.00 %"
8/15/2016,5752,unknown.gif,"150711 Berbak",10.15.159.161,"0.00 %"
8/15/2016,4441,unknown.gif,"1508 Bungo",10.15.8.1,"40.00 %"
8/15/2016,4770,unknown.gif,"150801 Tanah Tumbuh",10.15.162.1,"0.00 %"
8/15/2016,5751,unknown.gif,"150802 Rantau Pandan",10.15.162.17,"0.00 %"
8/15/2016,5760,unknown.gif,"150803 Pasar Muaro Bungo",10.15.162.33,"0.00 %"
8/15/2016,5750,unknown.gif,"150804 Jujuhan",10.15.162.49,"0.00 %"
8/15/2016,5765,unknown.gif,"150805 Tanah Sepenggal",10.15.162.65,"0.00 %"
8/15/2016,5761,unknown.gif,"150806 Pelepat",10.15.162.81,"0.00 %"
8/15/2016,5766,unknown.gif,"150807 Limbur Lubuk Mengkuang",10.15.162.97,"0.00 %"
8/15/2016,5773,unknown.gif,"150808 Muko-muko Bathin VII",10.15.162.113,"0.00 %"
8/15/2016,5762,unknown.gif,"150809 Pelepat Ilir",10.15.162.129,"0.00 %"
8/15/2016,4493,unknown.gif,"150810 Batin II Babeko",10.15.162.145,"27.53 %"
8/15/2016,5769,unknown.gif,"150811 Bathin III",10.15.162.161,"0.00 %"
8/15/2016,5768,unknown.gif,"150812 Bungo Dani",10.15.162.177,"0.00 %"
8/15/2016,5763,unknown.gif,"150813 Rimbo Tengah",10.15.162.193,"37.71 %"
8/15/2016,5764,unknown.gif,"150814 Bathin III Ulu",10.15.162.209,"0.00 %"
8/15/2016,5774,unknown.gif,"150815 Bathin II Pelayang",10.15.162.225,"0.00 %"
8/15/2016,5775,unknown.gif,"150816 Jujuhan Ilir",10.15.163.1,"0.00 %"
8/15/2016,5776,unknown.gif,"150817 Tanah Sepenggal Lintas",10.15.162.241,"23.86 %"
8/15/2016,5652,unknown.gif,"1509 Tebo",10.15.9.1,"38.64 %"
8/15/2016,324,unknown.gif,"150901 Tebo Tengah",10.15.165.1,"0.00 %"
8/15/2016,333,unknown.gif,"150902 Tebo Ilir",10.15.165.17,"13.71 %"
8/15/2016,334,unknown.gif,"150903 Tebo Ulu",10.15.165.33,"0.00 %"
8/15/2016,335,unknown.gif,"150904 Rimbo Bujang",10.15.165.49,"36.00 %"
8/15/2016,527,unknown.gif,"150905 Sumay",10.15.165.65,"53.98 %"
8/15/2016,336,unknown.gif,"150906 VII Koto",10.15.165.81,"14.77 %"
8/15/2016,2584,unknown.gif,"150907 Rimbo Ulu",10.15.165.97,"33.14 %"
8/15/2016,528,unknown.gif,"150908 Rimbo Ilir",10.15.165.113,"26.86 %"
8/15/2016,337,unknown.gif,"150909 Tengah Ilir",10.15.165.129,"32.00 %"
8/15/2016,338,unknown.gif,"150910 Serai Serumpun",10.15.165.145,"0.00 %"
8/15/2016,529,unknown.gif,"150911 VII Koto Ilir",10.15.165.161,"25.42 %"
8/15/2016,339,unknown.gif,"150912 Muara Tabir",10.15.165.177,"0.00 %"
8/15/2016,6569,unknown.gif,"1571 Kota Jambi",10.15.71.2,"47.73 %"
8/15/2016,2825,unknown.gif,"157101 Telanaipura",10.15.101.1,"77.40 %"
8/15/2016,2826,unknown.gif,"157102 Jambi Selatan",10.15.101.17,"37.50 %"
8/15/2016,539,unknown.gif,"157103 Jambi Timur",10.15.101.33,"80.11 %"
8/15/2016,1866,unknown.gif,"157104 Pasar Jambi",10.15.101.49,"49.43 %"
8/15/2016,540,unknown.gif,"157105 Pelayangan",10.15.101.65,"21.59 %"
8/15/2016,2753,unknown.gif,"157106 Danau Teluk",10.15.101.81,"67.05 %"
8/15/2016,2754,unknown.gif,"157107 Kota Baru",10.15.101.97,"80.68 %"
8/15/2016,1867,unknown.gif,"157108 Jelutung",10.15.101.113,"80.11 %"
8/15/2016,5653,unknown.gif,"1572 Kota Sungai Penuh",10.15.72.1,"99.44 %"
8/15/2016,5038,unknown.gif,"157201 Sungai Penuh",10.15.103.1,"0.00 %"
8/15/2016,5008,unknown.gif,"157202 Pesisir Bukit",10.15.103.17,"0.00 %"
8/15/2016,5006,unknown.gif,"157203 Hamparan Rawang",10.15.103.33,"0.00 %"
8/15/2016,4986,unknown.gif,"157204 Tanah Kampung",10.15.103.49,"0.00 %"
8/15/2016,5007,unknown.gif,"157205 Kumun Debai",10.15.103.65,"0.00 %"
8/15/2016,8015,unknown.gif,"16 Sumatera Selatan",10.10.16.2,"99.44 %"
8/15/2016,5654,unknown.gif,"1601 Ogan Komering Ulu",10.16.1.1,"59.66 %"
8/15/2016,730,unknown.gif,"160107 Sosoh Buay Rayap",10.16.140.1,"17.61 %"
8/15/2016,5244,unknown.gif,"160108 Pengandonan",10.16.141.17,"0.00 %"
8/15/2016,2797,unknown.gif,"160109 Peninjauan",10.16.141.33,"20.90 %"
8/15/2016,1868,unknown.gif,"160113 Baturaja Barat",10.16.141.65,"0.00 %"
8/15/2016,3423,unknown.gif,"160114 Baturaja Timur",10.16.141.81,"28.25 %"
8/15/2016,2588,unknown.gif,"160120 Ulu Ogan",10.16.141.97,"51.43 %"
8/15/2016,733,unknown.gif,"160121 Semidang Aji",10.16.141.113,"0.00 %"
8/15/2016,2589,unknown.gif,"160122 Lubuk Batang",10.16.141.129,"22.73 %"
8/15/2016,2798,unknown.gif,"160128 Lengkiti",10.16.141.145,"0.00 %"
8/15/2016,2590,unknown.gif,"160129 Sinar Peninjauan",10.16.141.161,"16.95 %"
8/15/2016,735,unknown.gif,"160130 Lubuk Raja",10.16.141.177,"100.00 %"
8/15/2016,589,unknown.gif,"160131 Muara Jaya",10.16.141.49,"14.77 %"
8/15/2016,4982,unknown.gif,"1602 Ogan Komering Ilir",10.16.2.1,"98.88 %"
8/15/2016,2591,unknown.gif,"160202 Tanjung Lubuk",10.16.144.1,"0.00 %"
8/15/2016,2592,unknown.gif,"160203 Pedamaran",10.16.144.17,"16.57 %"
8/15/2016,736,unknown.gif,"160204 Mesuji",10.16.144.33,"17.61 %"
8/15/2016,2593,unknown.gif,"160205 Kayu Agung",10.16.144.49,"0.00 %"
8/15/2016,737,unknown.gif,"160208 Sirah Pulau Padang",10.16.144.65,"0.00 %"
8/15/2016,738,unknown.gif,"160211 Tulung Selapan",10.16.144.81,"0.00 %"
8/15/2016,739,unknown.gif,"160212 Pampangan",10.16.144.97,"0.00 %"
8/15/2016,740,unknown.gif,"160213 Lempuing",10.16.144.113,"100.00 %"
8/15/2016,2799,unknown.gif,"160214 Air Sugihan",10.16.144.129,"64.20 %"
8/15/2016,742,unknown.gif,"160215 Sungai Menang",10.16.144.145,"27.84 %"
8/15/2016,1869,unknown.gif,"160217 Jejawi",10.16.144.161,"0.00 %"
8/15/2016,2800,unknown.gif,"160218 Cengal",10.16.144.177,"0.00 %"
8/15/2016,744,unknown.gif,"160219 Pangkalan Lampam",10.16.144.193,"14.12 %"
8/15/2016,2594,unknown.gif,"160220 Mesuji Makmur",10.16.144.209,"65.14 %"
8/15/2016,745,unknown.gif,"160221 Mesuji Raya",10.16.144.225,"31.25 %"
8/15/2016,746,unknown.gif,"160222 Lempuing Jaya",10.16.144.241,"16.00 %"
8/15/2016,747,unknown.gif,"160223 Teluk Gelam",10.16.145.1,"0.00 %"
8/15/2016,748,unknown.gif,"160224 Pedamaran Timur",10.16.145.17,"2.27 %"
8/15/2016,2889,unknown.gif,"1603 Muara Enim",10.16.3.1,"100.00 %"
8/15/2016,2595,unknown.gif,"160301 Tanjung Agung",10.16.147.1,"0.00 %"
8/15/2016,543,unknown.gif,"160302 Muara Enim",10.16.147.17,"65.34 %"
8/15/2016,2596,unknown.gif,"160303 Rambang Dangku",10.16.147.33,"61.67 %"
8/15/2016,2597,unknown.gif,"160304 Gunung Megang",10.16.147.49,"0.00 %"
8/15/2016,749,unknown.gif,"160306 Gelumbang",10.16.147.81,"98.30 %"
8/15/2016,750,unknown.gif,"160307 Lawang Kidul",10.16.147.97,"43.75 %"
8/15/2016,590,unknown.gif,"160308 Semende Darat Laut",10.16.147.113,"5.11 %"
8/15/2016,1159,unknown.gif,"160309 Semende Darat Tengah",10.16.147.129,"0.00 %"
8/15/2016,751,unknown.gif,"160310 Semende Darat Ulu",10.16.147.145,"0.00 %"
8/15/2016,2599,unknown.gif,"160311 Ujan Mas",10.16.147.161,"0.00 %"
8/15/2016,1160,unknown.gif,"160314 Lubai",10.16.147.209,"0.00 %"
8/15/2016,2600,unknown.gif,"160315 Rambang",10.16.147.225,"0.00 %"
8/15/2016,1161,unknown.gif,"160316 Sungai Rotan",10.16.147.241,"0.00 %"
8/15/2016,2601,unknown.gif,"160317 Lembak",10.16.148.1,"0.00 %"
8/15/2016,1162,unknown.gif,"160319 Benakat",10.16.148.33,"0.00 %"
8/15/2016,1163,unknown.gif,"160321 Kelekar",10.16.148.65,"0.00 %"
8/15/2016,1164,unknown.gif,"160322 Muara Belida",10.16.148.81,"97.14 %"
8/15/2016,8310,unknown.gif,"1604 Lahat",10.16.4.1,"36.36 %"
8/15/2016,291,unknown.gif,"160401 Tanjungsakti Pumu",10.16.150.1,"100.00 %"
8/15/2016,302,unknown.gif,"160406 Jarai",10.16.150.17,"29.71 %"
8/15/2016,755,unknown.gif,"160407 Kota Agung",10.16.150.33,"11.86 %"
8/15/2016,544,unknown.gif,"160408 Pulaupinang",10.16.150.49,"7.43 %"
8/15/2016,2602,unknown.gif,"160409 Merapi Barat",10.16.150.65,"27.96 %"
8/15/2016,2603,unknown.gif,"160410 Lahat",10.16.150.81,"100.00 %"
8/15/2016,2604,unknown.gif,"160412 Pajar Bulan",10.16.150.97,"14.20 %"
8/15/2016,545,unknown.gif,"160415 Mulak Ulu",10.16.150.113,"29.71 %"
8/15/2016,2605,unknown.gif,"160416 Kikim Selatan",10.16.150.129,"17.14 %"
8/15/2016,1870,unknown.gif,"160417 Kikim Timur",10.16.150.145,"0.00 %"
8/15/2016,2606,unknown.gif,"160418 Kikim Tengah",10.16.150.161,"97.19 %"
8/15/2016,2607,unknown.gif,"160419 Kikim Barat",10.16.150.177,"18.29 %"
8/15/2016,2608,unknown.gif,"160420 Pseksu",10.16.150.193,"97.74 %"
8/15/2016,297,unknown.gif,"160421 Gumay Talang",10.16.150.209,"0.00 %"
8/15/2016,546,unknown.gif,"160422 Pagar Gunung",10.16.150.225,"12.00 %"
8/15/2016,2609,unknown.gif,"160423 Merapi Timur",10.16.150.241,"0.00 %"
8/15/2016,288,unknown.gif,"160424 Tanjung Sakti Pumi",10.16.151.1,"100.00 %"
8/15/2016,2610,unknown.gif,"160425 Gumay Ulu",10.16.151.17,"0.00 %"
8/15/2016,2611,unknown.gif,"160426 Merapi Selatan",10.16.151.33,"8.84 %"
8/15/2016,547,unknown.gif,"160427 Tanjungtebat",10.16.151.49,"0.00 %"
8/15/2016,298,unknown.gif,"160428 Muarapayang",10.16.151.65,"99.43 %"
8/15/2016,4469,unknown.gif,"1605 Musi Rawas",10.16.5.1,"100.00 %"
8/15/2016,548,unknown.gif,"160501 Tugumulyo",10.16.153.1,"42.86 %"
8/15/2016,549,unknown.gif,"160502 Muara Lakitan",10.16.153.17,"0.00 %"
8/15/2016,2613,unknown.gif,"160503 Muara Kelingi",10.16.153.33,"20.45 %"
8/15/2016,5044,unknown.gif,"160508 Jayaloka",10.16.153.113,"23.16 %"
8/15/2016,1871,unknown.gif,"160509 Muara Beliti",10.16.153.129,"36.00 %"
8/15/2016,554,unknown.gif,"160510 STL Ulu Terawas",10.16.153.145,"16.57 %"
8/15/2016,2614,unknown.gif,"160511 Selangit",10.16.153.161,"8.00 %"
8/15/2016,7752,unknown.gif,"160512 Megang Sakti",10.16.153.177,"32.02 %"
8/15/2016,556,unknown.gif,"160513 Purwodadi",10.16.153.193,"14.20 %"
8/15/2016,557,unknown.gif,"160514 BTS. Ulu",10.16.153.209,"18.86 %"
8/15/2016,560,unknown.gif,"160518 Tiang Pumpung Kepungut",10.16.154.17,"0.00 %"
8/15/2016,561,unknown.gif,"160519 Sumber Harta",10.16.154.33,"99.43 %"
8/15/2016,2616,unknown.gif,"160520 Tuah Negeri",10.16.154.49,"24.57 %"
8/15/2016,562,unknown.gif,"160521 Suka Karya",10.16.154.65,"10.23 %"
8/15/2016,3218,unknown.gif,"1606 Musi Banyuasin",10.16.6.1,"96.02 %"
8/15/2016,563,unknown.gif,"160601 Sekayu",10.16.156.1,"37.71 %"
8/15/2016,1872,unknown.gif,"160602 Lais",10.16.156.17,"29.38 %"
8/15/2016,346,unknown.gif,"160603 Sungai Keruh",10.16.156.33,"33.71 %"
8/15/2016,564,unknown.gif,"160604 Batang Hari Leko",10.16.156.49,"38.42 %"
8/15/2016,1873,unknown.gif,"160605 Sanga Desa",10.16.156.65,"32.77 %"
8/15/2016,565,unknown.gif,"160606 Babat Toman",10.16.156.81,"35.96 %"
8/15/2016,5714,unknown.gif,"160607 Sungai Lilin",10.16.156.97,"55.87 %"
8/15/2016,2755,unknown.gif,"160608 Keluang",10.16.156.113,"88.14 %"
8/15/2016,568,unknown.gif,"160609 Bayung Lencir",10.16.156.129,"28.98 %"
8/15/2016,569,unknown.gif,"160610 Plakat Tinggi",10.16.156.145,"33.33 %"
8/15/2016,2802,unknown.gif,"160611 Lalan",10.16.156.161,"28.98 %"
8/15/2016,4835,unknown.gif,"1607 Banyuasin",10.16.7.1,"98.87 %"
8/15/2016,2612,unknown.gif,"160701 Banyuasin I",10.16.152.1,"100.00 %"
8/15/2016,756,unknown.gif,"160702 Banyuasin II",10.16.159.17,"0.00 %"
8/15/2016,594,unknown.gif,"160703 Banyuasin III",10.16.159.33,"18.75 %"
8/15/2016,757,unknown.gif,"160704 Pulau Rimau",10.16.159.49,"0.00 %"
8/15/2016,606,unknown.gif,"160705 Betung",10.16.159.65,"0.00 %"
8/15/2016,758,unknown.gif,"160706 Rambutan",10.16.159.81,"0.00 %"
8/15/2016,2617,unknown.gif,"160707 Muara Padang",10.16.159.97,"23.86 %"
8/15/2016,759,unknown.gif,"160708 Muara Telang",10.16.159.113,"18.18 %"
8/15/2016,2618,unknown.gif,"160709 Makarti Jaya",10.16.159.129,"98.29 %"
8/15/2016,1874,unknown.gif,"160710 Talang Kelapa",10.16.159.145,"66.86 %"
8/15/2016,760,unknown.gif,"160711 Rantau Bayur",10.16.159.161,"0.00 %"
8/15/2016,761,unknown.gif,"160712 Tanjung Lago",10.16.159.177,"62.22 %"
8/15/2016,2619,unknown.gif,"160713 Muara Sugihan",10.16.159.193,"0.00 %"
8/15/2016,685,unknown.gif,"160714 Air Salek",10.16.159.209,"0.00 %"
8/15/2016,687,unknown.gif,"160715 Tungkal Ilir",10.16.159.225,"22.73 %"
8/15/2016,688,unknown.gif,"160716 Suak Tapeh",10.16.159.241,"47.73 %"
8/15/2016,2620,unknown.gif,"160717 Sembawa",10.16.160.1,"100.00 %"
8/15/2016,5689,unknown.gif,"1608 Ogan Komering Ulu Timur",10.16.8.1,"100.00 %"
8/15/2016,2621,unknown.gif,"160801 Martapura",10.16.162.1,"0.00 %"
8/15/2016,2622,unknown.gif,"160802 Buay Madang",10.16.162.17,"0.00 %"
8/15/2016,1165,unknown.gif,"160803 Belitang",10.16.162.33,"33.52 %"
8/15/2016,762,unknown.gif,"160804 Cempaka",10.16.162.49,"0.00 %"
8/15/2016,2623,unknown.gif,"160805 Buay Pemuka Peliung",10.16.162.65,"24.14 %"
8/15/2016,2624,unknown.gif,"160806 Madang Suku II",10.16.162.81,"14.29 %"
8/15/2016,763,unknown.gif,"160807 Madang Suku I",10.16.162.97,"13.71 %"
8/15/2016,2625,unknown.gif,"160808 Semendawai Suku III",10.16.162.113,"0.00 %"
8/15/2016,2626,unknown.gif,"160809 Belitang II",10.16.162.129,"100.00 %"
8/15/2016,2627,unknown.gif,"160810 Belitang III",10.16.162.145,"21.59 %"
8/15/2016,1166,unknown.gif,"160811 Bunga Mayang",10.16.162.161,"0.00 %"
8/15/2016,2628,unknown.gif,"160812 Buay Madang Timur",10.16.162.177,"0.00 %"
8/15/2016,2629,unknown.gif,"160813 Madang Suku III",10.16.162.193,"27.43 %"
8/15/2016,764,unknown.gif,"160814 Semendawai Barat",10.16.162.209,"33.14 %"
8/15/2016,2630,unknown.gif,"160815 Semendawai Timur",10.16.162.225,"0.00 %"
